trader_count,title,outcome,combined_value,avg_entry_price,current_price,event_url,trader_list
9,Strait of Hormuz traffic returns to normal by end of June?,Yes,344474.69,0.2837,0.225,https://polymarket.com/event/strait-of-hormuz-traffic-returns-to-normal-by-end-of-june,"wan123:$115,501; denizz:$30,927; Erasmus.:$90,971; BrightStars:$2,685; ScottyNooo:$1,208; tetrose:$38,204; Valen9:$30,486; Clicker1:$23,243; coali10:$11,250"
8,Will the Iranian regime fall by June 30?,No,1415158.89,0.8283,0.9975,https://polymarket.com/event/will-the-iranian-regime-fall-by-june-30,"wan123:$26,169; denizz:$25,578; Erasmus.:$163,719; BrightStars:$33,250; Wickier:$51,836; AML:$798,000; ScottyNooo:$105,226; Clicker1:$211,382"
8, Iran agrees to end enrichment of uranium by June 30?,Yes,301593.24,0.3903,0.525,https://polymarket.com/event/iran-agrees-to-end-enrichment-of-uranium-by-june-30,"wan123:$1,886; denizz:$166,231; aenews2:$3,106; Arbguy:$2,489; PatrocIus:$25,793; ScottyNooo:$48,323; tetrose:$4,421; Valen9:$49,344"
6,Will the Iranian regime fall before 2027?,No,726218.53,0.6968,0.905,https://polymarket.com/event/will-the-iranian-regime-fall-by-the-end-of-2026,"wan123:$96,920; denizz:$262,307; Erasmus.:$258,079; PatrocIus:$2,260; ScottyNooo:$47,857; Clicker1:$58,795"
6,Will the Republican Party control the House after the 2026 Midterm elections?,No,81755.17,0.672,0.8149,https://polymarket.com/event/which-party-will-win-the-house-in-2026,"Arbguy:$10,741; PatrocIus:$16,369; cigarettes:$3,215; donthackme:$793; ScottyNooo:$42,489; Valen9:$8,149"
5,Will the U.S. invade Iran before 2027?,No,412199.92,0.7176,0.875,https://polymarket.com/event/will-the-us-invade-iran-before-2027,"wan123:$19,523; denizz:$221,746; aenews2:$73,931; PatrocIus:$83,698; ScottyNooo:$13,301"
5,"Israel withdraws from Lebanon by June 30, 2026?",No,150373.59,0.911,0.967,https://polymarket.com/event/israel-withdraws-from-lebanon-by,"denizz:$106,487; Arbguy:$987; PatrocIus:$1,635; tetrose:$38,680; Valen9:$2,584"
5,"Israel x Iran permanent peace deal by June 30, 2026?",Yes,38795.85,0.0968,0.079,https://polymarket.com/event/israel-x-iran-permanent-peace-deal-by,"Arbguy:$7,916; PatrocIus:$4,196; ScottyNooo:$20,401; Valen9:$809; coali10:$5,474"
4,Will Keiko Fujimori win the 2026 Peruvian presidential election?,Yes,476125.16,0.9048,0.9855,https://polymarket.com/event/peru-presidential-election-winner,"aenews2:$134,745; ScottyNooo:$82,586; Valen9:$31,331; coali10:$227,464"
4,Will JD Vance win the 2028 US Presidential Election?,Yes,320459.71,0.4331,0.167,https://polymarket.com/event/presidential-election-winner-2028,"Arbguy:$81,830; BrightStars:$155,310; PatrocIus:$66,800; ScottyNooo:$16,520"
4,Will Spencer Pratt win the 2026 Los Angeles mayoral election?,No,122695.64,0.8712,0.9925,https://polymarket.com/event/los-angeles-mayoral-election-117,"wan123:$82,492; denizz:$26,795; aenews2:$10,483; Valen9:$2,925"
4,Will Iran close its airspace by June 30?,Yes,73970.25,0.8614,0.9995,https://polymarket.com/event/iran-closes-its-airspace-byptptpt-20260609184135829,"denizz:$7,535; BrightStars:$53,541; PatrocIus:$12,029; ScottyNooo:$866"
4,Strait of Hormuz traffic returns to normal by July 31?,Yes,71280.4,0.4349,0.545,https://polymarket.com/event/strait-of-hormuz-traffic-returns-to-normal-by-july-31,"Erasmus.:$29,860; aenews2:$62; BrightStars:$2,986; Clicker1:$38,372"
4,Will Portugal win the 2026 FIFA World Cup?,Yes,42852.96,0.0591,0.0805,https://polymarket.com/event/world-cup-winner,"0x2c335066FE58fe9237c3d3Dc7b275C2a034a0563-1759935795465:$38,896; cigarettes:$3,052; donthackme:$99; boyau:$805"
4,Will the Democratic Party control the House after the 2026 Midterm elections?,Yes,38007.29,0.8211,0.8149,https://polymarket.com/event/which-party-will-win-the-house-in-2026,"Arbguy:$669; PatrocIus:$12,321; ScottyNooo:$16,868; Valen9:$8,149"
